STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TSUN,TMAX,TMIN,AWND,WDF5,WT09,WT14,WT07,WT01,WT15,WT17,WT06,WT21,WT05,WT02,WT11,WT22,WT04,WT13,WT16,WT08,WT18,WT03,WT10,WT19
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090722,244,-9999,222,178,39,120,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090723,0,-9999,250,178,34,280,-9999,1,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090724,0,-9999,278,139,17,200,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090725,155,-9999,261,183,39,280,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090726,0,-9999,278,172,32,280,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090727,0,-9999,278,144,18,140,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090728,28,-9999,283,161,26,190,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090729,191,-9999,261,194,18,290,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,1,-9999,1,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090730,259,-9999,261,189,15,270,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,1,-9999,1,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090731,36,-9999,272,161,28,280,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090801,0,-9999,272,139,16,180,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090802,3,-9999,250,150,33,330,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090803,0,-9999,267,128,26,180,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090804,292,-9999,217,178,33,310,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,1,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090805,0,-9999,261,172,14,300,-9999,1,1,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,1,1,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090806,0,-9999,261,161,26,310,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090807,0,-9999,267,128,13,140,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090808,0,-9999,300,189,30,200,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090809,0,-9999,317,200,32,220,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090810,142,-9999,306,211,34,220,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,1,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090811,0,-9999,278,200,21,280,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090812,0,-9999,283,178,30,340,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090813,0,-9999,289,183,20,350,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090814,0,-9999,289,167,9,70,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090815,0,-9999,306,172,11,170,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090816,0,-9999,317,217,24,170,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090817,3,-9999,306,200,32,200,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090818,0,-9999,289,211,31,190,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090819,0,-9999,300,217,32,170,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,-9999,-9999,1,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090820,10,-9999,289,217,43,190,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,-9999,-9999,1,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090821,0,-9999,272,183,38,270,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00093814,CINCINNATI NORTHERN KY AIRPORT KY US,264.9,39.04306,-84.67167,20090822,0,-9999,217,144,28,330,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,-9999,-9999,-9999,-9999,-9999
