STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TSUN,TMAX,TMIN,AWND,WDF5,WT09,WT14,WT07,WT01,WT15,WT17,WT06,WT05,WT02,WT11,WT22,WT04,WT13,WT16,WT08,WT18,WT03,WT10,WT19
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090722,0,-9999,278,194,23,190,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090723,84,-9999,267,178,55,50,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090724,0,-9999,267,183,33,340,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,1,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090725,0,-9999,300,194,43,180,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090726,211,-9999,300,217,35,160,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,1,-9999,-9999,1,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090727,231,-9999,294,217,30,310,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,1,-9999,1,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090728,0,-9999,306,228,36,180,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090729,333,-9999,283,228,38,220,-9999,-9999,1,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,-9999,1,1,-9999,1,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090730,0,-9999,306,233,36,290,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090731,196,-9999,317,206,43,320,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,1,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090801,0,-9999,294,206,35,180,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090802,160,-9999,256,228,35,150,-9999,-9999,-9999,1,-9999,-9999,-9999,1,-9999,-9999,-9999,-9999,1,1,1,-9999,1,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090803,0,-9999,294,222,27,70,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014732,NEW YORK LAGUARDIA AIRPORT NY US,3.4,40.77944,-73.88028,20090804,0,-9999,300,222,33,170,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
